,gen_loss,disc_loss
0,"tf.Tensor(0.590931, shape=(), dtype=float32)","tf.Tensor(1.1394318, shape=(), dtype=float32)"
1,"tf.Tensor(0.103182375, shape=(), dtype=float32)","tf.Tensor(0.24456027, shape=(), dtype=float32)"
2,"tf.Tensor(0.16728963, shape=(), dtype=float32)","tf.Tensor(0.16292353, shape=(), dtype=float32)"
3,"tf.Tensor(0.209403, shape=(), dtype=float32)","tf.Tensor(0.08631636, shape=(), dtype=float32)"
4,"tf.Tensor(0.30052456, shape=(), dtype=float32)","tf.Tensor(0.047644466, shape=(), dtype=float32)"
5,"tf.Tensor(0.33790356, shape=(), dtype=float32)","tf.Tensor(0.033420604, shape=(), dtype=float32)"
6,"tf.Tensor(0.36095303, shape=(), dtype=float32)","tf.Tensor(0.02924252, shape=(), dtype=float32)"
7,"tf.Tensor(0.35609603, shape=(), dtype=float32)","tf.Tensor(0.03845363, shape=(), dtype=float32)"
8,"tf.Tensor(0.3727687, shape=(), dtype=float32)","tf.Tensor(0.03900532, shape=(), dtype=float32)"
9,"tf.Tensor(0.33240286, shape=(), dtype=float32)","tf.Tensor(0.03712033, shape=(), dtype=float32)"
10,"tf.Tensor(0.3875092, shape=(), dtype=float32)","tf.Tensor(0.033380836, shape=(), dtype=float32)"
11,"tf.Tensor(0.3762839, shape=(), dtype=float32)","tf.Tensor(0.043343417, shape=(), dtype=float32)"
12,"tf.Tensor(0.35127443, shape=(), dtype=float32)","tf.Tensor(0.04192332, shape=(), dtype=float32)"
13,"tf.Tensor(0.3674329, shape=(), dtype=float32)","tf.Tensor(0.05494209, shape=(), dtype=float32)"
14,"tf.Tensor(0.32176888, shape=(), dtype=float32)","tf.Tensor(0.051410586, shape=(), dtype=float32)"
15,"tf.Tensor(0.28018188, shape=(), dtype=float32)","tf.Tensor(0.059940152, shape=(), dtype=float32)"
16,"tf.Tensor(0.2681735, shape=(), dtype=float32)","tf.Tensor(0.05864856, shape=(), dtype=float32)"
17,"tf.Tensor(0.25763294, shape=(), dtype=float32)","tf.Tensor(0.07137605, shape=(), dtype=float32)"
18,"tf.Tensor(0.22558571, shape=(), dtype=float32)","tf.Tensor(0.06877274, shape=(), dtype=float32)"
19,"tf.Tensor(0.22763713, shape=(), dtype=float32)","tf.Tensor(0.07132577, shape=(), dtype=float32)"
20,"tf.Tensor(0.21181004, shape=(), dtype=float32)","tf.Tensor(0.07740122, shape=(), dtype=float32)"
21,"tf.Tensor(0.21781313, shape=(), dtype=float32)","tf.Tensor(0.07532219, shape=(), dtype=float32)"
22,"tf.Tensor(0.21877185, shape=(), dtype=float32)","tf.Tensor(0.07807217, shape=(), dtype=float32)"
23,"tf.Tensor(0.19210708, shape=(), dtype=float32)","tf.Tensor(0.089104794, shape=(), dtype=float32)"
24,"tf.Tensor(0.18016054, shape=(), dtype=float32)","tf.Tensor(0.086362146, shape=(), dtype=float32)"
25,"tf.Tensor(0.17594495, shape=(), dtype=float32)","tf.Tensor(0.089779355, shape=(), dtype=float32)"
26,"tf.Tensor(0.167757, shape=(), dtype=float32)","tf.Tensor(0.08995384, shape=(), dtype=float32)"
27,"tf.Tensor(0.16912341, shape=(), dtype=float32)","tf.Tensor(0.09262396, shape=(), dtype=float32)"
28,"tf.Tensor(0.1562252, shape=(), dtype=float32)","tf.Tensor(0.09557023, shape=(), dtype=float32)"
29,"tf.Tensor(0.15927741, shape=(), dtype=float32)","tf.Tensor(0.09741428, shape=(), dtype=float32)"
30,"tf.Tensor(0.153466, shape=(), dtype=float32)","tf.Tensor(0.0984751, shape=(), dtype=float32)"
31,"tf.Tensor(0.15091911, shape=(), dtype=float32)","tf.Tensor(0.10082733, shape=(), dtype=float32)"
32,"tf.Tensor(0.15835488, shape=(), dtype=float32)","tf.Tensor(0.09830945, shape=(), dtype=float32)"
33,"tf.Tensor(0.1401296, shape=(), dtype=float32)","tf.Tensor(0.10212636, shape=(), dtype=float32)"
34,"tf.Tensor(0.14169924, shape=(), dtype=float32)","tf.Tensor(0.10228494, shape=(), dtype=float32)"
35,"tf.Tensor(0.13944237, shape=(), dtype=float32)","tf.Tensor(0.10525379, shape=(), dtype=float32)"
36,"tf.Tensor(0.13665466, shape=(), dtype=float32)","tf.Tensor(0.10672201, shape=(), dtype=float32)"
37,"tf.Tensor(0.13311295, shape=(), dtype=float32)","tf.Tensor(0.10773089, shape=(), dtype=float32)"
38,"tf.Tensor(0.12734173, shape=(), dtype=float32)","tf.Tensor(0.108916774, shape=(), dtype=float32)"
39,"tf.Tensor(0.1304211, shape=(), dtype=float32)","tf.Tensor(0.111038215, shape=(), dtype=float32)"
40,"tf.Tensor(0.12847202, shape=(), dtype=float32)","tf.Tensor(0.10895215, shape=(), dtype=float32)"
41,"tf.Tensor(0.11972946, shape=(), dtype=float32)","tf.Tensor(0.1130614, shape=(), dtype=float32)"
42,"tf.Tensor(0.12596944, shape=(), dtype=float32)","tf.Tensor(0.11058677, shape=(), dtype=float32)"
43,"tf.Tensor(0.119702175, shape=(), dtype=float32)","tf.Tensor(0.115627185, shape=(), dtype=float32)"
44,"tf.Tensor(0.115498796, shape=(), dtype=float32)","tf.Tensor(0.11402353, shape=(), dtype=float32)"
45,"tf.Tensor(0.112210564, shape=(), dtype=float32)","tf.Tensor(0.11570959, shape=(), dtype=float32)"
46,"tf.Tensor(0.11341375, shape=(), dtype=float32)","tf.Tensor(0.117553286, shape=(), dtype=float32)"
47,"tf.Tensor(0.1230328, shape=(), dtype=float32)","tf.Tensor(0.11329477, shape=(), dtype=float32)"
48,"tf.Tensor(0.123778254, shape=(), dtype=float32)","tf.Tensor(0.115327746, shape=(), dtype=float32)"
49,"tf.Tensor(0.10967722, shape=(), dtype=float32)","tf.Tensor(0.12055143, shape=(), dtype=float32)"
